1;138323;179812;160932
2;138323;175719;155300
3;135804;170597;152113
4;134232;170693;148835
5;130436;163239;144448
6;130386;149764;138874
7;128889;151217;136267
8;123835;149086;134731
9;123835;153783;133672
10;121248;146358;132623
11;121111;154899;129597
12;118932;139338;126351
13;117089;137634;123102
14;113007;135809;122316
15;112040;131853;120329
16;109415;133441;119277
17;109176;133893;117513
18;108688;130776;115081
19;108456;129178;113629
20;107318;125666;112503
21;106253;123641;110322
22;104218;118633;108847
23;103207;115947;107867
24;101675;114487;107001
25;100152;120395;106317
26;99604;117787;105432
27;97492;117349;103258
28;95133;114213;102332
29;95133;112373;101104
30;95142;114547;99711
31;95142;119859;99728
32;92623;116571;99017
33;92124;113326;97864
34;91679;110673;97578
35;91025;107010;96985
36;88498;123583;97178
37;88498;114024;94686
38;87378;108582;93659
39;86468;103943;91047
40;86468;107227;91194
41;86087;100185;89998
42;86513;102490;90552
43;85758;98358;89908
44;83922;106916;90295
45;85305;123627;91292
46;85244;107365;90554
47;84363;112749;90110
48;84363;109024;89692
49;83831;110234;88895
50;83831;103143;87638
51;83286;96755;86023
52;82350;93802;85572
53;80904;101321;85107
54;80904;95552;84395
55;80874;101533;84017
56;80129;103984;83886
57;78937;97206;83113
58;78178;88587;81903
59;78178;89418;81593
60;76985;91328;80994
61;76091;96450;80422
62;76776;96798;80391
63;76585;92240;80202
64;76318;91165;78868
65;75780;91286;78538
66;75520;93539;79236
67;75462;89307;77816
68;74139;86971;77215
69;74139;89057;77929
70;74139;86475;77723
71;73912;92375;77734
72;71441;88661;76913
73;71441;88760;76383
74;71902;91336;75966
75;70769;80437;74181
76;70615;86989;73404
77;70157;81584;73028
78;69772;92027;73878
79;69656;84015;72787
80;69136;91252;73978
81;69077;96253;73520
82;69140;89587;73108
83;69064;84887;73421
84;69125;100302;73330
85;68500;88031;72992
86;68042;83890;71210
87;68042;89106;71155
88;67436;88307;70506
89;67193;81396;70183
90;63987;87303;69573
91;63987;78897;69569
92;63987;76249;68152
93;63086;75507;67416
94;62164;73440;66230
95;62071;75137;64689
96;60903;68961;63454
97;60903;69286;62944
98;60860;67615;62546
99;60621;67481;62073
100;60621;88260;62593
101;59942;72692;62325
102;60021;67408;62081
103;59944;67476;61562
104;58962;69068;61288
105;58962;66551;60934
106;58574;69387;60817
107;58164;66340;60791
108;57976;65196;60479
109;57935;66271;59828
110;57549;72421;59426
111;57677;63164;59144
112;57181;66129;58903
113;57626;79642;59437
114;57644;73030;59235
115;57466;69356;59486
116;57466;72742;59468
117;57466;73234;60433
118;56870;78664;60255
119;56630;72669;58718
120;56543;73025;58808
121;56065;77495;58721
122;56222;63081;57674
123;55959;64635;57425
124;56063;78760;57084
125;56038;62272;56972
126;55479;67981;57146
127;55479;69213;57282
128;55479;62542;56940
129;55479;68998;57379
130;55418;78613;57682
131;55418;63753;56830
132;55052;60709;56018
133;55052;62140;56544
134;54464;61266;55877
135;53910;62257;56499
136;53910;64820;55759
137;53269;61690;55828
138;53269;62224;55173
139;51926;61081;55164
140;51926;66799;54442
141;51926;62244;54216
142;51387;60785;54221
143;51037;65319;53709
144;51037;59788;52680
145;51037;57952;52759
146;51037;59304;52369
147;50901;57675;51950
148;50836;58382;52395
149;50901;60666;51982
150;50157;57036;51923
151;50863;57974;51932
152;50579;57916;51645
153;50241;55538;51685
154;50175;56603;51612
155;50001;55062;51177
156;49919;57346;51058
157;49919;56673;51153
158;49691;55067;50778
159;49691;55351;50709
160;49456;55725;50449
161;49456;58564;50845
162;49173;56267;50696
163;49018;56235;50643
164;48685;54943;50493
165;48484;58649;50489
166;48484;57173;49952
167;48384;56135;49832
168;47762;54423;49685
169;47638;55873;49288
170;47299;58854;49683
171;47299;57779;49725
172;47056;58722;48716
173;46345;53963;48241
174;46930;53435;47943
175;46428;54026;47952
176;46193;52742;47657
177;46193;54832;47760
178;46193;53675;47827
179;46193;53978;47534
180;46036;53512;47185
181;46036;52353;47207
182;45856;52838;46720
183;45856;51479;46755
184;45959;52674;46797
185;45917;52919;46831
186;45917;52466;46751
187;45736;54277;46777
188;45736;55503;47492
189;45259;51932;46877
190;45177;56161;46761
191;45177;51175;46504
192;44741;53197;46251
193;44118;51872;45656
194;44118;51826;46066
195;44118;51469;45991
196;43786;51381;45409
197;43740;50906;45416
198;44118;51131;45388
199;44041;50385;45308
200;43786;52147;45427
1;143118;180658;159837
2;142645;175775;152679
3;138913;162165;148536
4;137663;170377;146350
5;134191;161324;143064
6;132500;161726;140614
7;131998;156758;138668
8;128151;150474;135664
9;125109;146410;133025
10;123153;148795;130740
11;121331;147112;126997
12;114363;147625;126779
13;113428;138474;123796
14;112056;134513;117858
15;109074;127130;115089
16;108996;130828;114187
17;107434;139390;113387
18;106470;134998;113534
19;106749;130556;111548
20;104902;128078;109361
21;104902;121652;108718
22;103688;123265;109019
23;103126;115535;106473
24;101341;116788;106339
25;100262;119305;106081
26;97337;121837;105601
27;93944;116084;102393
28;92847;111775;96838
29;91123;100549;94599
30;91123;100583;94547
31;90393;102609;94212
32;89716;96132;92103
33;89728;98152;91825
34;89644;103381;91679
35;88979;100233;91179
36;87775;96483;90613
37;86525;96590;89396
38;86460;95556;88416
39;86019;92626;88198
40;84816;98599;87875
41;84940;108045;88713
42;82534;106325;86836
43;78549;96114;86991
44;80832;102554;86260
45;78548;100263;85352
46;78470;93169;84212
47;78079;90224;82097
48;77218;95843;82300
49;77218;94275;79763
50;77053;84476;78265
51;75844;85194;78155
52;74657;84146;77950
53;74657;80783;76584
54;74424;82417;76114
55;74424;81721;75489
56;73694;81204;75491
57;73438;84838;75224
58;73253;83610;75195
59;73209;82715;74505
60;71848;86034;74795
61;71741;87778;75132
62;71689;81649;74179
63;71060;84718;72968
64;70872;89496;73298
65;70872;81216;73090
66;70071;87478;72909
67;70071;78499;71666
68;68862;76974;71431
69;68862;82653;72639
70;68862;83462;71980
71;68862;79078;70744
72;68831;77322;70797
73;68668;88184;71801
74;68317;83402;71278
75;67243;84069;70905
76;67187;80919;70270
77;65699;82311;69556
78;65647;81235;69409
79;65080;82008;69493
80;64996;88700;69403
81;64996;87131;66769
82;63588;71838;66015
83;63266;71125;65544
84;62852;68438;64797
85;62116;71645;64208
86;62107;70032;64092
87;61488;73176;64442
88;61488;72748;63931
89;61296;80357;64106
90;60172;76921;63714
91;59987;72451;62080
92;59927;69495;62352
93;59724;74139;62627
94;59724;71798;61266
95;59047;65987;60707
96;58677;64397;60453
97;58677;67016;60320
98;58418;64680;59684
99;58080;67867;59657
100;57821;66157;59296
101;56117;71475;60018
102;56001;69163;59116
103;54437;72502;58909
104;54437;65204;56991
105;54437;64053;56059
106;53958;61409;55467
107;53803;61492;55471
108;53850;61515;55797
109;53940;65821;57164
110;53940;61289;54963
111;52806;60958;55116
112;52806;60848;54600
113;52806;63575;54909
114;52781;59803;53554
115;52778;58533;53481
116;52443;59613;53504
117;52065;58974;53262
118;52065;58933;53287
119;52054;59261;53264
120;51995;61146;53919
121;51737;66915;53937
122;51737;59845;53543
123;51737;64019;53432
124;51232;60435;53570
125;51232;60066;53423
126;51086;60642;53410
127;50877;59256;52545
128;50877;59547;52759
129;50769;62011;52054
130;50531;57625;52047
131;50531;61691;52165
132;50129;61920;52177
133;50129;62251;52655
134;50129;63432;51668
135;49813;60997;52427
136;49813;63738;53278
137;49738;69424;53064
138;49299;68118;52393
139;49299;63499;51284
140;49299;63650;51056
141;48076;55699;50198
142;47447;56221;50436
143;47447;56026;49712
144;47447;58375;50195
145;47218;61980;50096
146;47135;53522;48367
147;47045;53879;48244
148;47043;54362;48299
149;47110;55028;48289
150;46992;53251;47995
151;46992;53416;47894
152;46403;54999;47962
153;46297;52559;47938
154;46041;55784;47640
155;46041;54631;47481
156;45921;53514;47312
157;45921;52413;47062
158;45921;52025;46727
159;45247;52658;46927
160;45247;52382;46598
161;45208;53643;46571
162;44414;51825;46437
163;44375;52639;45972
164;44197;53018;46306
165;43885;57229;46282
166;43885;50729;45517
167;43742;49700;44743
168;43742;50473;45113
169;43742;50351;44910
170;43697;50360;44915
171;43393;49343;44347
172;43393;49352;44314
173;43235;49308;44313
174;42989;49998;44378
175;42846;50814;44269
176;42846;49532;43538
177;42387;50238;43990
178;42387;50238;43573
179;41859;49267;43718
180;41859;49851;43297
181;41859;49140;43010
182;41849;49147;42707
183;41859;46821;42456
184;41859;48143;42383
185;41859;47587;42616
186;41846;48212;42927
187;41846;46508;42548
188;41503;48330;42508
189;41503;48280;42434
190;41333;51199;42652
191;41333;49729;42345
192;41333;51189;42679
193;41095;48815;42371
194;40784;47851;42301
195;40658;51275;42402
196;40751;52942;43148
197;40166;51372;42563
198;40166;51142;42064
199;39861;45413;41334
200;39304;47385;41186
1;142410;176651;157175
2;136148;164202;149632
3;133847;161157;143157
4;130730;153017;140068
5;127689;148148;135963
6;122386;146891;130622
7;118683;150770;129261
8;116822;145379;126458
9;114350;144311;123257
10;113731;130763;119027
11;112811;128073;116021
12;110145;130433;114599
